疑う うたがう 의심하다
材料　ざいりょう 재료
者　しゃ 자
渋滞　じゅうたい 정체
セット　セット 세트,조절
チャレンジ　チャレンジ 챌린지,도전
土地　とち 토지,땅
なるべく　なるべく 되도록
ばらばら　ばらばら 제각각,제각기
ぺらぺら　ぺらぺら 줄줄,술술
報告　ほうこく 보고
身につける　みにつける 익히다
無駄　むだ 낭비,헛됨
もったいない　もったいない 아깝다
翌日　よくじつ 익일,다음날
囲む　かこむ 둘러싸다,에워싸다
配達　はいたつ 배달
比較　ひかく 비교
引き受ける　ひきうける 맡다
文句　もんく 불만,불평
ユーモア　ユーモア 유머
うろうろ　うろうろ 허둥지둥
間隔　かんかく 간격
芸術　げいじゅつ 예술
さっそく　さっそく 즉시
事情　じじょう 사정
親しい　したしい 친하다
しまう　しまう 치우다
締め切り　しめきり 마감
就職　しゅうしょく 취직
集中　しゅうちゅう 집중
冗談　じょうだん 농담
清潔　せいけつ 청결
積極的　せっきょくてき 적극적
通訳　つうやく 통역
デザイン　デザイン 디자인
どきどき　どきどき 두근두근
とける　とける 녹다
突然　とつぜん 돌연
取り消す　とりけす 취소하다
ノック　ノック 노크
あふれる　あふれる 넘치다
意外に　いがいに 의외로
エネルギー　エネルギー 에너지
重ねる　かさねる 쌓다,거듭하다
乾燥　かんそう 건조
期待　きたい 기대
きつい　きつい 끼다
経営　けいえい 경영
原料　げんりょう 원료
しっかり　しっかり 꽉,단단히
自動的に　じどうてきに 자동적으로
しぼる　しぼる 짜다
バケツ　バケツ 양동이
発展　はってん 발전
交ざる　まざる 섞이다
待ち合わせる　まちあわせる 만나기로하다
まよう　まよう 헤메다
目標　もくひょう 목표
応募　おうぼ 응모
落ち着く　おちつく 가라앉다,침착하다
確実だ　かくじつだ 확실하다
完成　かんせい 완성
くるしい　くるしい 고통스럽다,난처하다
申請　しんせい 신청
ずいぶん　ずいぶん 꽤,상당히
正常だ　せいじょうだ 정상이다
底　そこ 바닥,속
そっくり　そっくり 꼭닮음
そっと　そっと 살짝
登場　とうじょう 등장
ふく　ふく 닦다
平均　へいきん 평균
マナー　マナー 매너
目的　もくてき 목적
床　ゆか 마루
呼び掛ける　よびかける 호소하다
列　れつ 열,행렬
アドバイス　アドバイス 충고
イメージ　イメージ 이미지
うまい　うまい 맛있다,솜씨가좋다
うわさ　うわさ 소문
おしい　おしい 아깝다
がらがら　がらがら 텅텅빈모양
傷　きず 상처,흠
自信　じしん 자신
しずむ　しずむ 가라앉다,지다
姿勢　しせい 자세
たしかめる　たしかめる 확인하다
頼る　たよる 의지하다
特長　とくちょう 특별한장점
内緒　ないしょ 비밀,은밀
農業　のうぎょう 농업
許す　ゆるす 용서하다,허락하다
流行している　りゅうこうしている 유행하고있다
編む　あむ
栄養　えいよう
演奏　えんそう
香り　かおり
隠す　かくす
観察　かんさつ
興味　きょうみ
盛んだ　さかんだ
順番　じゅんばん
代表的だ　だいひょうてきだ
戦う　たたかう
発表　はっぴょう
ぴったり　ぴったり
防ぐ　ふせぐ
守る　まもる
破れる　やぶれる
リサイクル　リサイクル
料金　りょうきん
割合　わりあい
あきる　あきる
穴　あな
印象　いんしょう
お祝い　おいわい
我慢　がまん
間隔　かんかく
記念　きねん
くせ　くせ
合計　ごうけい
覚める　さめる
当日　とうじつ
パンフレット　パンフレット
ぶつける　ぶつける
ふらふら　ふらふら
方法　ほうほう
目標　もくひょう
料　りょう
分ける　わける
うわさ　うわさ
追いつく　おいつく
おかしい　おかしい
おぼれる　おぼれる
主に　おもに
かわく　かわく
交換　こうかん
材料　ざいりょう
自慢　じまん
渋滞　じゅうたい
たたむ　たたむ
たつ　たつ
調子　ちょうし
閉じる　とじる
突然　とつぜん
なるべく　なるべく
引き受ける　ひきうける
不安　ふあん
物価　ぶっか
別々　べつべつ
ゆるい　ゆるい
リサイクル　リサイクル
意志　いし
応援　おうえん
起きる　おきる
外食　がいしょく
がっかり　がっかり
片方　かたほう
カバー　カバー
枯れる　かれる
期待　きたい
差　さ
しつこう　しつこう
自動的に　じどうてきに
代金　だいきん
流れ　ながれ
なつかしい　なつかしい
延ばす　のばす
むく　むく
別れる　わかれる
合わせる　あわせる
インタビュー　インタビュー
影響　えいきょう
